id,tag,symbol,name,recommend_date,recommend_time,recommend_price,take_profit_date,take_profit_time,take_profit_price,note
20260506-301666-1,分组A,301666,大普微,2026-05-06,,,,,,empty
20260507-002709-1,分组A,002709,天赐材料,2026-05-07,,,,,,empty
20260508-001309-1,分组A,001309,德明利,2026-05-08,,,,,,empty
20260513-002119-1,分组A,002119,康强电子,2026-05-13,,,,,,empty
20260513-601138-1,分组B,601138,工业富联,2026-05-13,11:15,69.96,,,,首次推荐
20260517-002409-1,分组A,002409,雅克科技,2026-05-17,,,,,,empty
20260517-603283-1,分组A,603283,赛腾股份,2026-05-17,,,,,,empty
20260517-603986-1,分组A,603986,兆易创新,2026-05-17,,,,,,empty
20260517-688820-1,分组A,688820,盛合晶微,2026-05-17,,,,,,empty
20260520-603119-1,分组A,603119,浙江荣泰,2026-05-20,,,,,,empty
20260520-605376-1,分组A,605376,博迁新材,2026-05-20,,,,,,empty
20260521-002156-1,分组A,002156,通富微电,2026-05-21,,,,,,empty
20260521-600584-1,分组A,600584,长电科技,2026-05-21,,,,,,empty
20260521-688820-1,分组A,688820,盛合晶微,2026-05-21,,,,,,empty
20260525-00148-1,分组A,00148,建滔集团,2026-05-22,,,,,,首次推荐
20260525-002364-1,分组A,002364,中恒电气,2026-05-22,,,,,,首次推荐
20260525-002436-1,分组A,002436,兴森科技,2026-05-22,,,,,,首次推荐
20260525-002886-1,分组A,002886,沃特股份,2026-05-22,,,,,,首次推荐
20260525-300285-1,分组A,300285,国瓷材料,2026-05-22,,,,,,首次推荐
20260525-301511-1,分组A,301511,德福科技,2026-05-22,,,,,,早盘推荐
20260525-301526-1,分组A,301526,国际复材,2026-05-22,,,,,,首次推荐
20260525-601208-1,分组A,601208,东材科技,2026-05-22,,,,,,首次推荐
20260525-603256-1,分组A,603256,宏和科技,2026-05-22,,,,,,首次推荐
20260523-000636-1,分组A,000636,风华高科,2026-05-23,,,,,,empty
20260523-002463-1,分组A,002463,沪电股份,2026-05-23,,,,,,empty
20260523-300408-1,分组A,300408,三环集团,2026-05-23,,,,,,empty
20260525-603986-1,分组A,603986,兆易创新,2026-05-24,,,,,,二次推荐
20260526-000988-1,分组A,000988,华工科技,2026-05-26,,,,,,推荐价171
20260527-000021-1,分组A,000021,深科技,2026-05-27,09:32,,2026-05-28,09:30,,首次推荐
20260527-002384-1,分组B,002384,东山精密,2026-05-27,10:44,,,,,首次推荐
20260527-601126-1,分组B,601126,四方股份,2026-05-27,10:44,,,,,首次推荐
20260529-600367-1,分组A,600367,红星发展,2026-05-29,09:45,,,,,首次推荐
20260529-688519-1,分组A,688519,南亚新材,2026-05-29,10:04,,,,,首次推荐
20260602-601138-1,分组A,601138,工业富联,2026-06-02,,80.01,,,,今日收盘价
